tile_id,paved_count,gravel_count,total_roads,gravel_ratio
m_4107510_ne_18_060_20220511,35,54,89,0.6067415730337079
m_4107524_nw_18_060_20221014,28,33,61,0.5409836065573771
m_4107920_ne_17_060_20220619,26,24,50,0.48
m_4107606_ne_18_060_20221021,12,17,29,0.5862068965517241
m_3907921_ne_17_060_20220509,16,11,27,0.4074074074074074
m_3907705_ne_18_060_20220428,43,10,53,0.18867924528301888
m_4007539_nw_18_060_20220510,85,9,94,0.09574468085106383
m_4107664_sw_18_060_20220615,110,7,117,0.05982905982905983
m_4007837_se_17_060_20220629,717,7,724,0.009668508287292817
m_4007660_se_18_060_20220711,477,5,482,0.01037344398340249
m_4007716_se_18_060_20220511,269,5,274,0.01824817518248175
m_4007640_sw_18_060_20220517,136,3,139,0.02158273381294964
m_4107850_se_17_060_20220703,285,2,287,0.006968641114982578
m_4107742_sw_18_060_20220619,29,2,31,0.06451612903225806
m_4007940_sw_17_060_20220630,95,1,96,0.010416666666666666
m_4108045_sw_17_060_20220621,283,0,283,0.0
m_4008032_se_17_060_20220509,1728,0,1728,0.0
m_4107555_sw_18_060_20220429,129,0,129,0.0
m_4007563_se_18_060_20220510,3271,0,3271,0.0
m_4007457_nw_18_060_20220817,1496,0,1496,0.0
m_3908007_se_17_060_20220509,435,0,435,0.0
m_4208056_sw_17_060_20220617,493,0,493,0.0
